high_volatility,range_expansion,directional_move,gap_move,any_materialization,return_pct,abs_return_pct,range_pct,gap_pct,volume,date
0,0,1,1,1,-0.8166719559927975,0.8166719559927975,0.6419658610207644,0.46969216121865454,103585866.0,2024-01-02
0,0,0,0,0,-0.3221058469677356,0.3221058469677356,0.8349348708093035,0.10452441391668105,84232169.0,2024-01-03
0,0,0,0,0,0.13696284882726487,0.13696284882726487,0.8577723587670305,0.04494093477145104,85553758.0,2024-01-04
0,0,0,0,0,-0.04406580493536586,0.04406580493536586,1.2269938650306778,0.21613228134966692,77940723.0,2024-01-10
0,0,0,1,0,0.06927679227458466,0.06927679227458466,0.7052569897873775,0.3127952136034328,58026420.0,2024-01-11
0,0,1,1,1,-0.5558713915734922,0.5558713915734922,0.618880081386973,0.6548333438612035,68843871.0,2024-01-16
0,0,1,1,1,0.8892841262783434,0.8892841262783434,0.9788823020611351,0.36418302314255446,91856248.0,2024-01-17
1,0,1,0,1,1.2466158786123525,1.2466158786123525,1.2943787291950248,0.24344687191755715,110834483.0,2024-01-18
0,0,0,1,0,0.21142963746035318,0.21142963746035318,0.5041218156649768,0.3275086541052555,75844931.0,2024-01-19
0,0,0,0,0,0.29165373875272005,0.29165373875272005,0.4576351728270143,0.11583410900817093,49945297.0,2024-01-22
0,0,0,1,0,0.10930990388977699,0.10930990388977699,0.7970521309526267,0.6084230499525614,80222006.0,2024-01-23
0,0,1,1,1,0.543892540019363,0.543892540019363,0.5978567399887239,0.45015348482663475,72524989.0,2024-01-24
0,0,0,0,0,-0.1270413704075462,0.1270413704075462,0.5291330831231125,0.0901583919021367,76641609.0,2024-01-25
0,0,1,0,1,0.791941076301257,0.791941076301257,0.8703586000451078,0.06565314622186519,61322751.0,2024-01-26
0,0,0,0,0,-0.07735054043601186,0.07735054043601186,0.3078114807566844,0.14452337818307237,58618386.0,2024-01-29
1,0,1,1,1,-1.6317301228381085,1.6317301228381085,1.2732389177684058,0.4624253906170388,126011062.0,2024-01-30
1,0,1,1,1,1.308813783962888,1.308813783962888,1.1204423993562114,0.36240888005301525,91891637.0,2024-01-31
0,0,1,0,1,1.0527391659852892,1.0527391659852892,1.3785356887572757,0.09198691741618738,99228192.0,2024-02-01
0,0,0,0,0,0.2903258552431239,0.2903258552431239,0.45996109580158495,0.1969343213886855,55918602.0,2024-02-05
0,0,1,1,1,0.8340418640430796,0.8340418640430796,0.6387394466944647,0.46763026843192074,70556506.0,2024-02-06
0,0,0,0,0,0.04416783778357166,0.04416783778357166,0.2911062035735773,0.0,52343636.0,2024-02-07
0,0,1,0,1,0.5779418847327009,0.5779418847327009,0.6334696495870356,0.1043506180767342,63979375.0,2024-02-08
1,0,1,1,1,-1.3773004910375732,1.3773004910375732,1.2891027844620147,1.287476545969908,113099199.0,2024-02-12
0,0,1,0,1,0.6899733237057981,0.6899733237057981,0.6819683951210664,0.14441302124075403,61682960.0,2024-02-14
0,0,0,0,0,-0.49799804784765245,0.49799804784765245,0.8212078931632458,0.06175175793310936,75532928.0,2024-02-15
0,0,0,0,0,0.09058700378452143,0.09058700378452143,0.769044447135764,0.2697479668250211,59603771.0,2024-02-20
1,0,1,1,1,2.0695480782767888,2.0695480782767888,1.0852959266681272,1.3676313831177997,76402535.0,2024-02-21
0,0,0,1,0,0.06896551724138379,0.06896551724138379,0.5949692697390329,0.34876847290640034,61321818.0,2024-02-22
0,0,0,0,0,0.18577442241941494,0.18577442241941494,0.47562660351293173,0.14031897863593737,48854528.0,2024-02-26
0,0,0,1,0,-0.13216814944864494,0.13216814944864494,0.3750024736311002,0.3156254315191491,56506634.0,2024-02-27
0,0,0,1,0,0.35949907162327527,0.35949907162327527,0.8640541657645573,0.3575238019989733,83924795.0,2024-02-28
0,0,1,0,1,0.9388285309400171,0.9388285309400171,0.9293095995913319,0.17713745866793304,76844844.0,2024-02-29
0,0,1,1,1,-0.999414405621696,0.999414405621696,1.1347601128880456,0.40210813976184767,72855623.0,2024-03-04
0,0,1,1,1,0.5067234512401895,0.5067234512401895,0.714719420233071,0.6644583776962822,68382367.0,2024-03-05
0,0,1,1,1,0.9926434526728681,0.9926434526728681,1.185777760455236,0.6650318783717482,58652085.0,2024-03-06
0,0,1,0,1,-0.6002214409199352,0.6002214409199352,1.3754898537228895,0.12626017365631806,86532535.0,2024-03-07
0,0,1,1,1,1.0757314974182446,1.0757314974182446,1.2698412698412662,0.4244249726177579,70833119.0,2024-03-11
0,0,0,0,0,-0.15673981191221517,0.15673981191221517,0.5414708669335256,0.06385696040869246,54438487.0,2024-03-12
0,0,0,0,0,-0.1976859119716227,0.1976859119716227,1.0261717314350942,0.1938097176192414,103493184.0,2024-03-13
0,0,1,1,1,-0.994271288474621,0.994271288474621,0.7012798651535592,0.920477716283147,107646297.0,2024-03-14
0,0,1,1,1,0.5943157523095992,0.5943157523095992,0.5914396887159462,0.8179196987231069,88893331.0,2024-03-15
0,0,1,0,1,0.5557072105447924,0.5557072105447924,0.9518695694620718,0.13843934017081394,60755263.0,2024-03-18
0,0,1,0,1,0.924938434391418,0.924938434391418,1.0741221862458004,0.011634445715604784,69594574.0,2024-03-19
0,0,0,1,0,0.33046418690440116,0.33046418690440116,0.4203366514453936,0.5590992929603381,60256112.0,2024-03-20
0,0,0,0,0,-0.18958253542704118,0.18958253542704118,0.3131524008350713,0.017234775947918772,79070842.0,2024-03-21
0,0,0,0,0,-0.18469707755354028,0.18469707755354028,0.6100953513804009,0.2808934721126722,65463744.0,2024-03-25
0,0,1,1,1,0.8403847265858433,0.8403847265858433,0.713998198232739,0.5589714924539024,82999777.0,2024-03-26
0,0,0,0,0,-0.019114245847412708,0.019114245847412708,0.3497639571109193,0.007645698338986813,96294886.0,2024-03-27
0,0,1,1,1,-0.6358204381798561,0.6358204381798561,0.4824019759184933,0.750727746284656,72924463.0,2024-04-01
0,0,0,0,0,0.10986045794463346,0.10986045794463346,0.6345128640964386,0.21586616297895392,58385823.0,2024-04-02
1,1,1,1,1,-1.2206156985810668,1.2206156985810668,2.122631418092906,0.7912824165880544,95643401.0,2024-04-03
0,0,1,0,1,1.0446917574599761,1.0446917574599761,1.2498542160712327,0.2709181982965261,73736571.0,2024-04-04
0,0,0,0,0,0.05593812086493399,0.05593812086493399,0.4411056534720146,0.13888085180256302,47850048.0,2024-04-05
0,0,0,1,0,0.11566933991363794,0.11566933991363794,1.2295869356388045,0.3431523750771076,67283576.0,2024-04-08
0,0,1,1,1,-1.0013094046060318,1.0013094046060318,0.7926306769494306,1.1245474851729245,82652806.0,2024-04-09
1,0,1,1,1,-1.3803088803088759,1.3803088803088759,1.3093687423450182,0.7007722007721999,92561094.0,2024-04-11
0,0,0,0,0,-0.18237684606998036,0.18237684606998036,0.8496058937695607,0.09713549410248966,73484020.0,2024-04-15
0,0,1,1,1,-0.5918217385259988,0.5918217385259988,1.4030234166584374,0.5004667050622681,75910305.0,2024-04-16
0,0,0,0,0,-0.20577364898612116,0.20577364898612116,1.1096059603968271,0.28568574567975363,74548085.0,2024-04-17
0,0,1,0,1,-0.8728379244074226,0.8728379244074226,1.320478936408772,0.016015374759766193,102212587.0,2024-04-18
0,0,1,1,1,0.9209144518943377,0.9209144518943377,1.396058895606932,0.5392196461749654,67961048.0,2024-04-19
0,0,1,1,1,1.1866645321379872,1.1866645321379872,1.3067878353063027,0.4122308492755834,64633620.0,2024-04-22
0,0,1,1,1,0.947387237085142,0.947387237085142,0.8255159474671684,0.5680351148980146,64306118.0,2024-04-25
1,0,1,0,1,-1.5841273575657733,1.5841273575657733,1.4904829322007205,0.29408304905305255,77483566.0,2024-04-29
0,0,1,1,1,0.9353452583191665,0.9353452583191665,1.2575622334622583,0.7594683721394933,62550179.0,2024-05-01
1,0,1,1,1,1.2395303249312017,1.2395303249312017,0.7805775099772971,1.2137892798447723,72756709.0,2024-05-02
0,0,1,1,1,1.032682039547034,1.032682039547034,0.6442822384428339,0.48113595024349765,47264703.0,2024-05-03
0,0,0,1,0,0.00966856170477399,0.00966856170477399,0.5045996196095219,0.3635379200990052,42047214.0,2024-05-07
0,0,1,0,1,0.5761905682630957,0.5761905682630957,0.676949244269196,0.03673698254025423,43643668.0,2024-05-08
0,0,0,1,0,0.1288040448315114,0.1288040448315114,0.5835457350376496,0.31528154257261787,52233171.0,2024-05-09
0,0,0,0,0,0.45881246280547244,0.45881246280547244,0.6275066684577336,0.038394348351931326,57535867.0,2024-05-13
1,0,1,1,1,1.2382954328301201,1.2382954328301201,0.9318601068786662,0.4834702847315281,59504897.0,2024-05-14
0,0,0,0,0,0.1437515368174149,0.1437515368174149,0.41602844121705945,0.02269761107641356,59187585.0,2024-05-16
0,0,0,0,0,0.11521390121822644,0.11521390121822644,0.45132843627850416,0.0226650297478524,37764206.0,2024-05-17
0,0,0,0,0,0.24525525412218774,0.24525525412218774,0.4628929866988989,0.14715315247329977,33437001.0,2024-05-20
0,1,1,1,1,-0.7304229658569737,0.7304229658569737,1.5667217051936397,0.5907555253571891,57211197.0,2024-05-22
0,0,1,1,1,0.6616472735569279,0.6616472735569279,0.6420384578952373,0.3593429158110857,41291076.0,2024-05-23
0,0,1,1,1,-0.6633719825128319,0.6633719825128319,0.7378174330816756,0.30032313248432635,46468510.0,2024-05-29
0,0,0,0,0,0.1117847669571868,0.1117847669571868,0.7958819283516204,0.25388404698747974,34632661.0,2024-06-03
0,0,0,0,0,0.44625780951167476,0.44625780951167476,0.5795622300388312,0.058286734303553,32789911.0,2024-07-02
0,0,1,0,1,0.5766510717005675,0.5766510717005675,0.7122532939449318,0.05621441265004632,41488389.0,2024-07-03
