date,total_gex,gex_sign,gex_oi,gex_volume,activity_ratio,zero_gamma_proximity,spot_above_flip,intraday_range,close_open_change,spot_price,economic_regime
2024-01-02,33014493130.99355,1,261242900.75221103,-2712007961.63229,10.381173818784957,1.0,1,0.0067350050830227185,0.0010377838021008816,472.87,transitional
2024-01-03,33274220098.80606,1,3794459809.603481,3504659783.6728754,0.9236254854519359,1.0,1,0.006419658610207644,-0.003486172225410765,468.81,stable_positive
2024-01-04,34419985209.91426,1,3510134951.719031,4206789549.2051682,1.1984694625900245,1.0,1,0.008349348708093035,-0.002178090967328718,467.58000000000004,stable_positive
2024-01-10,34361751631.1851,1,-4185319598.8565755,-3285800785.3205414,0.7850776285324108,1.0,1,0.007546186941116935,0.005061582588155849,476.65,elevated_risk
2024-01-11,37274367120.5748,1,-2782201624.7184205,-8032990610.302069,2.887278383756629,1.0,1,0.012269938650306778,-0.0025963692707132737,476.34,elevated_risk
2024-01-16,37999326864.59155,1,950675458.9413362,-2273965258.014782,2.3919469432260825,1.0,1,0.007469174767495697,-0.0006943567731346718,475.0,transitional
2024-01-17,39436914574.98233,1,5277143826.191061,-3561183424.501257,0.674831602433631,1.0,1,0.00618880081386973,0.000996142596753057,472.19,transitional
2024-01-18,39047675048.95622,1,-2552697846.7321444,-11500443808.03732,4.505211544233369,1.0,1,0.009788823020611351,0.005231957131706121,476.15,elevated_risk
2024-01-19,25468729920.499733,1,-4488627428.834728,-10550384353.248573,2.3504700536011094,1.0,1,0.012943787291950249,0.010007327541086632,482.63,elevated_risk
2024-01-22,28899065899.225395,1,-4073846384.938759,-4823246902.557866,1.1839540441165586,1.0,1,0.005041218156649769,-0.0011570008884114011,483.39,elevated_risk
2024-01-23,32440999920.668633,1,-5287844737.261405,-5691377280.480183,1.0763132359721608,1.0,1,0.004576351728270143,0.0017561620627673453,484.96,elevated_risk
2024-01-24,32372804311.939903,1,-3770744819.569002,1241776242.8366702,0.32931855701086815,1.0,1,0.007970521309526267,-0.004960947910046977,484.85,high_fragility
2024-01-25,34387670488.11166,1,-4104671988.164771,-7265685635.277651,1.7701014006057503,1.0,1,0.005978567399887239,0.0009331897656770427,487.82,elevated_risk
2024-01-26,33503262259.21696,1,-2469728128.9170465,-3246132980.9458017,1.3143685505048694,1.0,1,0.005291330831231125,-0.00036916261613230373,487.26,elevated_risk
2024-01-29,30519401967.236065,1,-3786312708.9495726,-4527787068.765978,1.1958301959750468,1.0,1,0.008703586000451078,0.007258114120517425,490.82,elevated_risk
2024-01-30,31424441885.780655,1,-2428323474.3517203,-3692055030.3329444,1.5204131860227548,1.0,1,0.003078114807566844,0.0006727005870841163,490.07,elevated_risk
2024-01-31,34825087839.62399,1,5502868694.579891,9100695820.894169,1.6538093721658298,1.0,1,0.012732389177684059,-0.011747370144488577,483.37,stable_positive
2024-02-01,32623090463.032757,1,-2719947701.650459,-6225129005.548818,2.2886943751791335,1.0,1,0.011204423993562113,0.009429874337123152,490.18,elevated_risk
2024-02-05,35832332826.59208,1,-3702152920.729823,-7550193645.769401,2.039406206991848,1.0,1,0.008401543463069224,-0.002319245688127248,492.62,elevated_risk
2024-02-06,36618337396.79066,1,-4233234691.321738,-13562930442.545914,3.203916492121342,1.0,1,0.0045996109580158494,0.0009320797536068172,493.61,elevated_risk
2024-02-07,31958112761.90718,1,-6984273724.048153,-7885901737.070728,1.1290940258996582,1.0,1,0.006387394466944647,0.003647061194059929,497.85,elevated_risk
2024-02-08,35506157864.59698,1,-5059600087.997276,-6312454142.922472,1.2476191859307815,1.0,1,0.002911062035735773,0.0004416783778357166,498.36,elevated_risk
2024-02-12,33016707701.59221,1,-2603466455.829736,-4473334025.8711,1.7182222631884954,1.0,1,0.006504778817566875,-0.00037911287587045854,500.63,elevated_risk
2024-02-14,41019942554.83544,1,-5846241403.041273,-8742800145.383121,1.4954565750287063,1.0,1,0.009400350248596017,0.0035830028784797855,498.89,elevated_risk
2024-02-15,39402255669.16098,1,-9015280212.046816,-10129847678.399916,1.1236309288383228,1.0,1,0.006819683951210664,0.005447735784814377,502.24,elevated_risk
2024-02-20,35443218598.81697,1,2136810662.3946798,-5041611016.546253,2.359409331520381,1.0,1,0.007956280639717183,-0.0019287953065981603,496.39,transitional
2024-02-21,37817845951.17122,1,-25688919.44898382,-2793449334.443219,108.7414104743016,1.0,1,0.007690444471357641,0.0036130959589842225,497.02,high_fragility
2024-02-22,30072040088.958305,1,-7944888428.215241,-11041588963.900476,1.3897726901598397,1.0,1,0.010852959266681271,0.006924465784409058,507.43,elevated_risk
2024-02-26,36731560848.90987,1,-1701355339.6444092,6294997226.154764,3.6999896961386365,1.0,1,0.005685618729096963,-0.0045445602990360065,505.99,transitional
2024-02-27,38046417258.81739,1,-2433022619.3884177,-1329335533.3980877,0.5463720406069382,1.0,1,0.004756266035129317,0.00045391750542731044,506.96,high_fragility
2024-02-28,37442978117.569305,1,1216168270.2299838,-3943334688.7679515,3.2424252344802964,1.0,1,0.003750024736311002,0.001840381532859729,505.32,transitional
2024-02-29,38985298046.49097,1,-3933315900.6636443,-11127448453.802294,2.8290248570995344,1.0,1,0.008640541657645573,1.9682327238354763e-05,508.02,elevated_risk
2024-03-04,33784411774.893833,1,-871285107.3897597,-1235446159.439921,1.4179585407366062,1.0,1,0.004296623244731843,0.0005273128527624979,512.04,high_fragility
2024-03-05,38102241040.84665,1,4941170808.528467,4126225713.543961,0.8350704465472212,1.0,1,0.011347601128880455,-0.005997177798682977,507.6,stable_positive
2024-03-06,36965691226.90005,1,-553279533.8361864,3365375102.5824175,6.082594595987404,1.0,1,0.00714719420233071,-0.0015669376162961734,509.90000000000003,transitional
2024-03-07,33617777535.86064,1,-4001626181.356084,-2753746461.389008,0.6881568483880245,1.0,1,0.01185777760455236,0.003254472463655063,514.56,high_fragility
2024-03-11,34795576772.30952,1,-1191636333.8766236,-247856287.41907617,0.2079965845055695,1.0,1,0.006621219244632493,0.0015671524839365979,511.34000000000003,high_fragility
2024-03-12,36049019721.14738,1,-9027899995.396442,-5932833189.946827,0.657166472044676,1.0,1,0.012698412698412662,0.006485539000876282,516.83,elevated_risk
2024-03-13,38441644956.49268,1,-6232163944.566654,-3193713164.4572873,0.512456538830568,1.0,1,0.005414708669335256,-0.002204559958229364,516.1,elevated_risk
2024-03-14,38766846914.78196,1,-3784294636.9416203,-35342865952.1887,9.339353655811532,1.0,1,0.010261717314350943,-0.003907383407160922,514.6800000000001,elevated_risk
2024-03-15,29844939288.926304,1,4579649346.496279,-1688473886.9465594,0.36869064838738114,1.0,1,0.007012798651535593,-0.0007447913604202102,509.93,transitional
2024-03-18,30626824144.15844,1,674940272.6258332,5175955377.315832,7.668760610741075,1.0,1,0.005914396887159462,-0.0022178988326847985,512.96,stable_positive
2024-03-19,32563332070.563267,1,-161053373.6521175,129951186.5908575,0.8068827348600465,1.0,1,0.009518695694620717,0.006951088548276987,515.8199999999999,high_fragility
2024-03-20,29730335394.32537,1,-4666441677.974324,-3497903607.042451,0.7495869119189058,1.0,1,0.010741221862458003,0.009131977431801067,520.92,elevated_risk
2024-03-21,32284686878.215763,1,-6300714186.473975,1453246243.8373833,0.23064786004055413,1.0,1,0.004203366514453936,-0.0022736391600908326,522.3,high_fragility
2024-03-25,35407145519.1759,1,406876805.49579483,29277914.484316953,0.07195768863904813,1.0,1,0.0025779145825318046,-5.7714505579016386e-05,519.89,stable_positive
2024-03-26,37683389158.32522,1,1493624417.3985512,3806302340.87306,2.548366441077942,1.0,1,0.006100953513804009,-0.004642863994781714,519.14,stable_positive
2024-03-27,37155697221.29879,1,-6698252605.808342,-10747798287.01752,1.6045674774489163,1.0,1,0.00713998198232739,0.002798489582334865,523.26,elevated_risk
2024-04-01,33630153481.279736,1,-1670572492.6224208,-7830450793.75597,4.687285842629873,1.0,1,0.006509745528129294,-0.0031880571941280047,522.1999999999999,elevated_risk
2024-04-02,35138467324.37709,1,2845581605.5158896,-8121878433.286864,2.8542068227962165,1.0,1,0.004824019759184933,0.0011577647422044278,518.98,transitional
2024-04-03,36554784610.79483,1,-523591155.4689404,3490640752.169077,6.666729786607602,1.0,1,0.006345128640964386,0.0032643127559297317,519.89,transitional
2024-04-04,34991772510.24131,1,7071651260.687181,7376270581.079101,1.0430761231235148,1.0,1,0.021226314180929056,-0.019961033007334834,513.42,stable_positive
2024-04-05,33608580790.792274,1,1883745175.722287,-596299250.4288554,0.316549848734299,1.0,1,0.012498542160712327,0.007716829296738159,518.44,transitional
2024-04-08,35384736963.10143,1,2231267850.832611,3216972555.6228075,1.4417688823967838,1.0,1,0.004411056534720146,-0.0008282769912355774,518.96,stable_positive
2024-04-09,35090287908.44942,1,1582097931.9308572,-2708866274.618498,1.7121988594678752,1.0,1,0.012295869356388045,-0.0022670509125839577,520.1899999999999,transitional
2024-04-11,38280268414.59821,1,364897772.8257109,-6178849698.10899,16.933097865358153,1.0,1,0.014349984486503216,0.0044989140552281455,518.2,transitional
2024-04-15,34967558586.38643,1,10976416799.04509,6485551648.248998,0.5908623703878682,1.0,1,0.022751538446605653,-0.020732630598101463,504.22,stable_positive
2024-04-16,37381434387.22247,1,11459787561.038208,4064870544.36823,0.3547073209444355,1.0,1,0.008496058937695608,-0.002792410979522369,503.5,stable_positive
2024-04-17,36491137165.0558,1,12460285658.546902,11316722730.116537,0.9082233778768981,1.0,1,0.014030234166584374,-0.010868491255804762,500.57,stable_positive
2024-04-18,38568105343.78079,1,12195554269.93563,5455313735.108857,0.4473198687293161,1.0,1,0.011096059603968271,-0.004900593649149441,499.57,stable_positive
2024-04-19,27194649431.48418,1,9943270989.07024,3853482480.4820094,0.38754676250077086,1.0,1,0.01320478936408772,-0.008569597949703614,494.81,stable_positive
2024-04-22,30312542257.544067,1,6657982576.973728,-1053247253.626672,0.1581931525728635,1.0,1,0.013960588956069319,0.0037964767089167855,499.19,transitional
2024-04-25,33436776513.513626,1,5686972293.608949,-5516232023.851107,0.9699769471446659,1.0,1,0.013582274930886599,0.0086341600224368,507.75,transitional
2024-04-29,31577954033.12054,1,646973148.962878,-2637294535.506715,4.076358562537558,1.0,1,0.006861534239055853,-5.881315062042525e-05,510.21000000000004,transitional
2024-05-01,30450147808.646408,1,8776783416.040638,7931087593.956435,0.9036439909707022,1.0,1,0.01660417248394429,-0.0020543300490645272,500.92999999999995,stable_positive
2024-05-02,30659871898.205967,1,4295213048.990338,-3538104872.0850406,0.8237321016978962,1.0,1,0.012575622334622583,0.001745512248338779,505.21000000000004,transitional
2024-05-03,26843387718.380867,1,-247029677.37393275,1322371539.3156173,5.353087747889993,1.0,1,0.007805775099772971,0.0002543234994913441,511.87,high_fragility
2024-05-07,29950298718.20477,1,-2567414166.0790887,5139422955.053123,2.0017895916271127,1.0,1,0.004096143442306215,-0.000811500115928509,517.72,transitional
2024-05-08,32002396595.029022,1,-501941387.06391907,4228006545.4368286,8.423307291252351,1.0,1,0.0050459961960952196,0.0037456817917169267,517.15,transitional
2024-05-09,30657665335.00702,1,-4691437302.218893,-5776358408.9165745,1.2312555911563712,1.0,1,0.00676949244269196,0.005392554795314785,520.64,elevated_risk
2024-05-13,29613440388.028202,1,-393973508.4298198,202434828.87720066,0.5138285304613603,1.0,1,0.0056070116350274615,-0.0031575321494182055,520.6999999999999,high_fragility
2024-05-14,28937400857.873955,1,-2115094467.9333897,-902824232.9678615,0.42684818416171755,1.0,1,0.006275066684577336,0.004202567596092842,523.3499999999999,high_fragility
2024-05-16,30208370767.948948,1,-2406254615.011338,4236450336.6417427,1.7605993606049792,1.0,1,0.005627311844191177,-0.002245791499962144,528.46,transitional
2024-05-17,26591017579.926563,1,-1687723907.4834664,-6017424184.813257,3.565407918991754,1.0,1,0.004160284412170595,0.001210264556268036,529.3,elevated_risk
2024-05-20,28700627809.124126,1,-2299723214.451084,-186149687.26966304,0.08094438761148684,1.0,1,0.004513284362785042,0.0009252789999431527,529.8199999999999,high_fragility
2024-05-22,30063878560.508938,1,-511640830.428608,995206117.5986031,1.9451264606167307,1.0,1,0.007123339300857388,-0.0015452746631488482,529.74,high_fragility
2024-05-23,33785860394.745697,1,4456490616.497993,7334275024.823513,1.6457512549610045,1.0,1,0.015667217051936397,-0.013134193935755028,526.04,stable_positive
2024-05-29,31933884914.769497,1,5193744810.846564,-2100849961.7906446,0.4044961849883827,1.0,1,0.003690458073352498,0.0007989651499012189,525.4399999999999,transitional
2024-06-03,30346977797.752575,1,9299413.303345252,-10064695665.364647,1082.2936175709174,1.0,1,0.012683830478998757,-0.0023061509961816704,527.91,transitional
2024-07-02,28798323259.38468,1,-2829286025.7314653,-8511121899.683714,3.0082225064124803,1.0,1,0.009858377781865024,0.009766415302556456,548.6899999999999,elevated_risk
2024-07-03,27991032244.321545,1,-4581056887.837752,-6293100711.743597,1.3737224544080973,1.0,1,0.005795622300388313,0.00504838797864,551.45,elevated_risk
2024-07-05,23560331431.980858,1,-3251942773.575085,-5993054279.002566,1.8429150499515057,1.0,1,0.007122532939449318,0.005201442630081383,554.4499999999999,elevated_risk
