date,pattern_type,detected,criterion_1_volatility_amplification,criterion_2_directional_followthrough,criterion_3_strike_convergence,criterion_4_range_expansion,realized_vol_t1,forecast_vol,price_change,distance_t,distance_t1,intraday_range,avg_5day_range
2024-01-08,stock_pinning,False,True,True,False,True,1.3590391908975956,0.7526888708311186,6.680000000000007,,,6.449999999999989,3.529999999999987
2024-08-13,stock_pinning,False,False,True,False,False,1.1069293779056897,1.735790051863819,8.769999999999982,,,6.0,9.119619999999989
2024-05-30,0dte_hedging,False,False,True,False,False,0.7405139587837976,0.7903221138939099,-3.490000000000009,,,3.870000000000005,4.171799999999985
2024-04-30,stock_pinning,False,True,True,False,True,1.5100203195346396,0.998183480533019,-8.079999999999984,,,7.579999999999984,5.051439999999991
2024-04-23,stock_pinning,False,True,True,False,False,1.2967863146445104,1.2216333455305282,5.92999999999995,,,6.557199999999966,6.100999999999999
2024-12-04,gamma_positioning,False,True,True,False,False,0.4871145048217626,0.4810914633084195,3.75,,,2.9599999999999227,2.8938000000000104
2024-06-14,gamma_positioning,False,False,True,False,False,0.5453406536718233,0.7543802800064731,0.3299999999999272,,,2.9599999999999227,4.058000000000016
2024-04-04,stock_pinning,False,True,True,False,True,2.1658643070146333,0.5658424465026378,-6.339999999999918,,,11.11239999999998,2.950000000000023
2024-05-28,gamma_positioning,False,False,True,False,False,0.6417394915158222,0.770622421452712,0.3699999999998908,,,3.3999999999999773,4.071820000000002
2024-11-11,stock_pinning,False,False,True,False,False,0.5294274834658225,0.8375738167288487,0.5699999999999363,,,3.169999999999959,4.899019999999996
2024-08-21,0dte_hedging,False,True,True,False,True,1.316399700331775,0.8070200307466673,1.919999999999959,,,7.3799999999999955,4.469000000000006
2024-01-08,0dte_hedging,False,True,True,False,True,1.3590391908975956,0.7526888708311186,6.680000000000007,,,6.449999999999989,3.529999999999987
2024-11-29,gamma_positioning,False,False,True,False,False,0.6588664841092071,0.77629085389733,3.7199999999999136,,,3.9700000000000273,4.631499999999983
2024-11-22,gamma_positioning,False,False,True,False,False,0.5033500696881573,1.062300284035944,1.840000000000032,,,2.997499999999945,6.266999999999984
2024-07-17,stock_pinning,False,False,True,False,False,0.7002549646281425,0.820010721224372,-7.919999999999959,,,3.899999999999977,4.589419999999973
2024-11-29,stock_pinning,False,False,True,False,False,0.6588664841092071,0.77629085389733,3.7199999999999136,,,3.9700000000000273,4.631499999999983
2024-04-09,stock_pinning,False,True,True,False,False,1.2323808056689474,0.9923822504600908,0.6000000000000227,,,6.399999999999977,5.123480000000018
2024-10-18,stock_pinning,False,False,True,False,False,0.4806787663148438,0.796061491566745,2.240000000000009,,,2.809999999999945,4.629000000000019
2024-05-21,0dte_hedging,False,False,True,False,False,0.461080999698873,0.5960454724462423,1.3000000000000682,,,2.449999999999932,3.148380000000043
2024-07-31,gamma_positioning,False,False,True,False,False,1.0747989324812637,1.3937956216542449,8.809999999999945,,,5.920100000000048,7.548000000000002
