date,pattern_type,detected,criterion_1_volatility_amplification,criterion_2_directional_followthrough,criterion_3_strike_convergence,criterion_4_range_expansion,realized_vol_t1,forecast_vol,price_change,distance_t,distance_t1,intraday_range,avg_5day_range
2024-01-02,gamma_positioning,True,False,False,False,False,0.6728022849888939,,,,,3.180000000000007,
2024-01-03,gamma_positioning,True,False,True,False,False,0.644211693935447,0.6728022849888939,-3.859999999999957,,,3.019999999999982,3.180000000000007
2024-01-04,gamma_positioning,True,True,True,False,False,0.8367574045540079,0.6585069894621705,-1.5100000000000477,,,3.909999999999968,3.0999999999999943
2024-01-05,gamma_positioning,False,True,True,False,False,0.8569840998461256,0.717923794492783,0.6400000000000432,,,4.009999999999991,3.3699999999999855
2024-01-08,gamma_positioning,False,True,True,False,True,1.3590391908975956,0.7526888708311186,6.680000000000007,,,6.449999999999989,3.529999999999987
2024-01-09,gamma_positioning,False,False,True,False,False,0.7554655186967132,0.873958934844414,-0.7200000000000273,,,3.579999999999984,4.1139999999999874
2024-01-10,gamma_positioning,True,False,True,False,False,0.750818364948801,0.8904915815859779,2.680000000000007,,,3.5781000000000063,4.193999999999983
2024-01-11,gamma_positioning,True,True,True,False,True,1.2301878870578384,0.9118129157886485,-0.20999999999997954,,,5.860000000000014,4.305619999999988
2024-01-12,gamma_positioning,False,False,True,False,False,0.7069732315180004,0.9904990122894148,0.3299999999999841,,,3.3700000000000045,4.695619999999996
2024-01-16,gamma_positioning,True,False,True,False,False,0.7474364643210588,0.9604968386237897,-1.75,,,3.5498000000000047,4.56762
2024-01-17,gamma_positioning,True,False,True,False,False,0.6182642020792343,0.8381762933084824,-2.6399999999999864,,,2.920000000000016,3.9875800000000026
2024-01-18,gamma_positioning,True,True,True,False,False,0.9737874876702526,0.8107360299849866,4.199999999999989,,,4.639999999999986,3.855580000000009
2024-01-19,gamma_positioning,True,True,True,False,True,1.281553800551383,0.8553298545292769,5.939999999999998,,,6.182600000000036,4.067960000000005
2024-01-22,gamma_positioning,True,False,True,False,False,0.5047057606784682,0.8656030372279858,1.0199999999999818,,,2.4400000000000546,4.13248000000001
2024-01-23,gamma_positioning,True,False,True,False,False,0.4568329002186264,0.8251495430600795,1.410000000000025,,,2.215000000000032,3.9464800000000197
2024-01-24,gamma_positioning,True,True,True,False,False,0.8010259791095837,0.7670288302395928,0.5299999999999727,,,3.8881000000000085,3.679520000000025
2024-01-25,gamma_positioning,True,False,True,False,False,0.5972993463516629,0.8035811856456627,2.6399999999999864,,,2.9150000000000205,3.8731400000000233
2024-01-26,gamma_positioning,True,False,True,False,False,0.5293284914137962,0.728283557381945,-0.6199999999999477,,,2.579999999999984,3.5281400000000303
2024-01-29,gamma_positioning,True,True,True,False,True,0.8640869582917753,0.5778384955544275,3.859999999999957,,,4.2450000000000045,2.80762000000002
2024-01-30,gamma_positioning,True,False,True,False,False,0.30760455499195155,0.649714735077089,-0.37999999999999545,,,1.509999999999991,3.16862000000001
2024-01-31,gamma_positioning,True,True,True,False,True,1.2883739231278963,0.6198690660317541,-8.009999999999991,,,6.221299999999985,3.0276200000000015
2024-02-01,gamma_positioning,True,True,True,False,True,1.109975470155357,0.7173386548354165,6.319999999999993,,,5.430000000000007,3.494259999999997
2024-02-05,gamma_positioning,True,False,True,False,False,0.8421074002639247,0.9870940516481792,-1.8000000000000114,,,4.147799999999961,4.831259999999998
2024-02-06,gamma_positioning,True,False,True,False,False,0.4595327746062557,0.982698140042609,1.4300000000000068,,,2.269999999999982,4.811819999999988
2024-02-07,gamma_positioning,True,False,True,False,False,0.6364183898815416,1.0130837839654698,4.1200000000000045,,,3.169999999999959,4.963819999999987
2024-02-08,gamma_positioning,True,False,True,False,False,0.29097768502167054,0.8826926773161988,0.21999999999997044,,,1.4499999999999886,4.353559999999982
2024-02-12,gamma_positioning,True,True,True,False,False,0.650724579823544,0.5719046162755073,-0.21999999999997044,,,3.259999999999991,2.8395599999999717
2024-02-13,gamma_positioning,False,True,True,False,True,1.290276878238342,0.5336280521874311,-6.900000000000034,,,6.375,2.6619999999999777
2024-02-14,gamma_positioning,True,True,True,False,True,0.9366789016587471,0.6997768729138484,4.490000000000009,,,4.670000000000016,3.4829999999999814
2024-02-15,gamma_positioning,True,False,True,False,False,0.6782733411684971,0.7598289752692894,3.4399999999999977,,,3.4049999999999727,3.782999999999993
