date,spot_price,flip_point,distance_from_spot,flip_type
2024-06-04,528.45,120.0,408.45000000000005,first_strike
2024-06-05,534.28,120.0,414.28,first_strike
2024-06-06,534.35,120.0,414.35,first_strike
2024-06-07,533.55,120.0,413.54999999999995,first_strike
2024-06-10,535.02,120.0,415.02,first_strike
2024-06-11,537.05,120.0,417.04999999999995,first_strike
2024-06-12,541.19,120.0,421.19000000000005,first_strike
2024-06-13,542.4,120.0,422.4,first_strike
2024-06-14,542.45,120.0,422.45000000000005,first_strike
2024-06-17,546.83,120.0,426.83000000000004,first_strike
2024-06-18,548.53,120.0,428.53,first_strike
2024-06-20,546.57,120.0,426.57000000000005,first_strike
2024-06-21,544.85,120.0,424.85,first_strike
2024-06-24,542.8299999999999,120.0,422.8299999999999,first_strike
2024-06-25,544.73,120.0,424.73,first_strike
2024-06-26,544.8799999999999,120.0,424.8799999999999,first_strike
2024-06-27,546.56,120.0,426.55999999999995,first_strike
2024-06-28,544.99,120.0,424.99,first_strike
2024-07-01,545.4499999999999,120.0,425.44999999999993,first_strike
2024-07-02,548.6899999999999,120.0,428.68999999999994,first_strike
2024-07-03,551.45,120.0,431.45000000000005,first_strike
2024-07-05,554.4499999999999,120.0,434.44999999999993,first_strike
2024-07-08,555.5999999999999,120.0,435.5999999999999,first_strike
2024-07-09,555.9399999999999,120.0,435.93999999999994,first_strike
2024-07-11,556.73,120.0,436.73,first_strike
2024-07-12,559.8199999999999,120.0,439.81999999999994,first_strike
2024-07-15,561.55,120.0,441.54999999999995,first_strike
2024-07-16,564.63,120.0,444.63,first_strike
2024-07-17,557.2,120.0,437.20000000000005,first_strike
2024-07-18,552.99,120.0,432.99,first_strike
2024-07-19,548.4399999999999,120.0,428.43999999999994,first_strike
2024-07-22,554.8299999999999,120.0,434.8299999999999,first_strike
2024-07-23,553.78,120.0,433.78,first_strike
2024-07-24,542.4,120.0,422.4,first_strike
2024-07-25,538.77,120.0,418.77,first_strike
2024-07-26,544.56,120.0,424.55999999999995,first_strike
2024-07-29,544.78,120.0,424.78,first_strike
2024-07-30,539.1700000000001,120.0,419.1700000000001,first_strike
2024-07-31,551.6700000000001,120.0,431.6700000000001,first_strike
2024-08-01,541.77,120.0,421.77,first_strike
2024-08-02,532.58,120.0,412.58000000000004,first_strike
2024-08-05,518.49,120.0,398.49,first_strike
2024-08-06,521.86,120.0,401.86,first_strike
2024-08-07,518.79,120.0,398.78999999999996,first_strike
2024-08-08,530.9,120.0,410.9,first_strike
2024-08-09,532.8,120.0,412.79999999999995,first_strike
2024-08-12,533.1800000000001,120.0,413.18000000000006,first_strike
2024-08-13,541.97,120.0,421.97,first_strike
2024-08-14,544.66,120.0,424.65999999999997,first_strike
2024-08-15,552.55,120.0,432.54999999999995,first_strike
2024-08-16,554.51,120.0,434.51,first_strike
2024-08-19,559.0,120.0,439.0,first_strike
2024-08-20,558.98,120.0,438.98,first_strike
2024-08-21,560.6999999999999,120.0,440.69999999999993,first_strike
2024-08-22,556.51,120.0,436.51,first_strike
2024-08-23,562.02,120.0,442.02,first_strike
2024-08-26,560.27,120.0,440.27,first_strike
2024-08-27,561.66,120.0,441.65999999999997,first_strike
2024-08-28,557.88,120.0,437.88,first_strike
2024-08-29,559.2,120.0,439.20000000000005,first_strike
2024-08-30,563.17,120.0,443.16999999999996,first_strike
2024-09-03,552.29,120.0,432.28999999999996,first_strike
2024-09-04,550.39,120.0,430.39,first_strike
2024-09-05,549.8699999999999,120.0,429.8699999999999,first_strike
2024-09-06,539.92,120.0,419.91999999999996,first_strike
2024-09-09,546.66,120.0,426.65999999999997,first_strike
2024-09-10,548.73,120.0,428.73,first_strike
2024-09-11,554.58,120.0,434.58000000000004,first_strike
2024-09-12,558.33,120.0,438.33000000000004,first_strike
2024-09-13,561.7,120.0,441.70000000000005,first_strike
2024-09-16,562.44,120.0,442.44000000000005,first_strike
2024-09-17,563.13,120.0,443.13,first_strike
2024-09-18,562.33,120.0,442.33000000000004,first_strike
2024-09-19,570.75,120.0,450.75,first_strike
2024-09-20,567.39,120.0,447.39,first_strike
2024-09-23,569.54,120.0,449.53999999999996,first_strike
2024-09-24,571.04,120.0,451.03999999999996,first_strike
2024-09-25,570.45,120.0,450.45000000000005,first_strike
2024-09-26,572.3299999999999,120.0,452.3299999999999,first_strike
2024-09-27,571.26,120.0,451.26,first_strike
2024-09-30,573.19,120.0,453.19000000000005,first_strike
2024-10-01,569.05,120.0,449.04999999999995,first_strike
2024-10-02,569.58,120.0,449.58000000000004,first_strike
2024-10-03,568.14,120.0,448.14,first_strike
2024-10-04,573.0,120.0,453.0,first_strike
2024-10-07,568.06,120.0,448.05999999999995,first_strike
2024-10-08,573.1099999999999,120.0,453.1099999999999,first_strike
2024-10-09,576.5999999999999,120.0,456.5999999999999,first_strike
2024-10-10,575.99,120.0,455.99,first_strike
2024-10-11,579.34,120.0,459.34000000000003,first_strike
2024-10-14,584.26,120.0,464.26,first_strike
2024-10-15,579.54,120.0,459.53999999999996,first_strike
2024-10-16,582.22,120.0,462.22,first_strike
2024-10-17,582.62,120.0,462.62,first_strike
2024-10-18,584.66,120.0,464.65999999999997,first_strike
2024-10-21,583.81,120.0,463.80999999999995,first_strike
2024-10-22,583.14,120.0,463.14,first_strike
2024-10-23,578.56,120.0,458.55999999999995,first_strike
2024-10-24,579.8,120.0,459.79999999999995,first_strike
2024-10-25,578.76,120.0,458.76,first_strike
2024-10-28,580.99,120.0,460.99,first_strike
2024-10-29,582.9,120.0,462.9,first_strike
2024-10-30,579.16,120.0,459.15999999999997,first_strike
2024-10-31,569.3199999999999,120.0,449.31999999999994,first_strike
2024-11-01,571.66,120.0,451.65999999999997,first_strike
2024-11-04,570.16,120.0,450.15999999999997,first_strike
2024-11-05,577.43,120.0,457.42999999999995,first_strike
2024-11-06,590.98,120.0,470.98,first_strike
2024-11-07,595.98,120.0,475.98,first_strike
2024-11-08,598.21,120.0,478.21000000000004,first_strike
2024-11-11,598.46,120.0,478.46000000000004,first_strike
2024-11-12,597.28,120.0,477.28,first_strike
2024-11-13,597.62,120.0,477.62,first_strike
2024-11-14,592.2,120.0,472.20000000000005,first_strike
2024-11-15,586.0699999999999,120.0,466.06999999999994,first_strike
2024-11-18,588.01,120.0,468.01,first_strike
2024-11-19,590.68,120.0,470.67999999999995,first_strike
2024-11-20,590.74,120.0,470.74,first_strike
2024-11-21,593.59,120.0,473.59000000000003,first_strike
2024-11-22,595.66,120.0,475.65999999999997,first_strike
2024-11-25,598.07,120.0,478.07000000000005,first_strike
2024-11-26,601.22,120.0,481.22,first_strike
2024-11-27,598.79,120.0,478.78999999999996,first_strike
2024-11-29,602.44,120.0,482.44000000000005,first_strike
2024-12-02,604.54,120.0,484.53999999999996,first_strike
2024-12-03,604.66,120.0,484.65999999999997,first_strike
2024-12-04,607.57,120.0,487.57000000000005,first_strike
2024-12-05,606.37,120.0,486.37,first_strike
2024-12-06,607.83,120.0,487.83000000000004,first_strike
2024-12-09,604.74,120.0,484.74,first_strike
2024-12-10,603.31,120.0,483.30999999999995,first_strike
2024-12-11,607.13,120.0,487.13,first_strike
2024-12-12,604.27,120.0,484.27,first_strike
2024-12-13,603.72,120.0,483.72,first_strike
2024-12-16,606.36,120.0,486.36,first_strike
2024-12-17,603.95,120.0,483.95000000000005,first_strike
2024-12-18,584.8000000000001,120.0,464.80000000000007,first_strike
2024-12-19,585.81,120.0,465.80999999999995,first_strike
2024-12-20,590.74,120.0,470.74,first_strike
2024-12-23,594.88,150.0,444.88,first_strike
2024-12-24,601.26,150.0,451.26,first_strike
2024-12-26,601.04,150.0,451.03999999999996,first_strike
2024-12-27,595.12,150.0,445.12,first_strike
2024-12-30,588.01,150.0,438.01,first_strike
2024-12-31,586.34,150.0,436.34000000000003,first_strike
