pattern,n_days,c1_volatility_amp,c1_pct,c2_directional,c2_pct,c3_convergence,c3_pct,c4_range_exp,c4_pct
0dte_hedging,188,78,41.48936170212766,187,99.46808510638297,0,0.0,41,21.808510638297875
gamma_positioning,168,72,42.857142857142854,167,99.40476190476191,0,0.0,38,22.61904761904762
stock_pinning,163,66,40.49079754601227,162,99.38650306748467,0,0.0,33,20.245398773006134
