ticker,date,feature_version,target_directional_move,target_return_pct,target_range_expansion,target_gap_move,target_any_materialization,_computed_at,ret_1d,ret_3d,ret_5d,ret_10d,ret_21d,log_ret_1d,overnight_gap,sma_5,price_vs_sma_5,sma_10,price_vs_sma_10,sma_21,price_vs_sma_21,sma_50,price_vs_sma_50,atr_14,volume_sma_5,volume_sma_21,relative_volume,realized_vol_5d,realized_vol_10d,realized_vol_21d,realized_vol_60d,is_month_end,is_month_start,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_position,gap_abs,gap_large,ret_accel,ret_momentum,rsi_overbought,rsi_oversold,sma_10_50_diff,sma_5_21_diff,sma_5_21_cross,vol_ratio_5_21,vol_ratio_5_60,vol_spike
QQQ,2015-03-31,v1.0,0,-0.0052078630374091,0.0,0.0,0.0,2026-05-18T04:42:51.102330+00:00,-0.0105876606927034,0.0047569451390772,-0.0215883728676388,-0.0096111962897026,-0.0323382070137556,-0.0106441087610451,-0.002811017494672,97.4101564,-0.0007761757376666,98.5046517,-0.0118786542544568,98.4329519047619,-0.0111588942880088,97.3189269,0.0001605247868796,1.1673437857142852,36872880.0,29078428.57142857,1.0484782533935315,0.2117331188400007,0.163414206739019,0.1464839984865982,0.1520004653439923,1.0,0.0,53.39459518826139,-0.0196164565869167,0.2133997109311326,-0.2330161675180494,100.70805332144154,95.98930787855844,0.2850844864797609,0.002811017494672,0,0.0153446058317806,-0.053926579881394404,0,0,1.1857248000000027,-1.0227955047618877,0,1.4454350411865753,1.3929766887953965,0
QQQ,2015-04-01,v1.0,1,0.0006663592888824,0.0,0.0,0.0,2026-05-18T04:42:51.102480+00:00,-0.0052078630374091,-0.0044540532439726,-0.0038875563630448,-0.0243550109768524,-0.0328684310087404,-0.0052214712230569,4.315014600586174e-07,97.334578,-0.0052081594271666,98.262941,-0.014606696943866,98.2762502857143,-0.0147401460831362,97.38645618,-0.0057380892777035,1.1865819285714292,35150700.0,29658504.76190476,1.1116710118963709,0.1363545154525407,0.1528064273548757,0.1466427443021311,0.1491426787910283,0.0,1.0,47.61432240691758,-0.1211148588929802,0.1464967313480586,-0.2676115902410388,100.56183880004882,95.84507359995116,0.2083144609376927,4.315014600586174e-07,0,0.0007538097934364999,-0.036755987371785204,0,0,0.8764848200000017,-0.9416722857143043,0,0.9298414783699895,0.914255445961513,0
QQQ,2015-04-02,v1.0,1,0.0081810432434754,0.0,0.0,0.0,2026-05-18T04:42:51.102577+00:00,0.0006663592888824,-0.0150845141059737,0.000190350890395,-0.0251499747932096,-0.0284759379254019,0.0006661373701111,0.0009519285628801,97.338266,-0.0045829869210943,98.0129707,-0.0114352691485147,98.1410138095238,-0.0127250347336703,97.44571232,-0.0056805610716068,1.1367625714285725,29414280.0,29570733.333333332,0.6480799709622803,0.1344419476206106,0.1522707444482184,0.1465975570272103,0.1462104837319975,0.0,1.0,50.10607508082897,-0.1941368815331969,0.0783699553169694,-0.2725068368501664,100.33688907214176,95.76855232785822,0.2459568405335244,0.0009519285628801,0,-0.0157508733948561,-0.0282855870350069,0,0,0.5672583799999984,-0.8027478095237939,0,0.917081711155933,0.9195095658936866,0
QQQ,2015-04-06,v1.0,0,-0.0016983289475454,0.0,0.0,0.0,2026-05-18T04:42:51.102663+00:00,0.0081810432434754,0.003598886557742,0.0043593697192587,-0.0234956701258477,-0.022241021729075,0.0081477599142165,-0.0058981342206758,97.4230652,0.0026870413024122,97.7779312,-0.000952016460745,98.0352028095238,-0.0035737959374096,97.48606006,0.0020391114368316,1.1718688571428584,27528820.0,30002642.85714286,0.814964872142216,0.1449722003728526,0.1552846495134658,0.149953025889096,0.1448894451453826,0.0,0.0,47.56203109781831,-0.1863206322545068,0.0254318045728584,-0.2117524368273652,100.26165159010978,95.73469790989024,0.4307857397763586,0.0058981342206758,0,-0.0045821566857334,-0.017881652009816302,0,0,0.2918711399999978,-0.6121376095237991,0,0.9667840301684376,1.0005710921294237,0
QQQ,2015-04-07,v1.0,1,0.0079391241152078,0.0,0.0,0.0,2026-05-18T04:42:51.102756+00:00,-0.0016983289475454,0.0071394900406747,-0.0087132729220612,-0.023264064691548,-0.0127239714389857,-0.0016997727430771,-0.0005660857628426,97.2516296,0.0027486881309801,97.5456589,-0.0002738707216831,97.97535423809524,-0.0046584188609931,97.5188602,8.593209541718494e-07,1.1733182857142868,25290660.0,29449738.095238097,0.658049994785304,0.1108269692983818,0.1553080555566516,0.1452374418916854,0.1399199016171935,0.0,0.0,45.7728050806434,-0.1912234774635948,-0.017899273593919,-0.1733242038696757,100.1366895330346,95.7054721669654,0.4092491257323179,0.0005660857628426,0,0.0088378189882201,-0.021437244361046902,0,0,0.026798700000000508,-0.7237246380952342,0,0.7630743162654348,0.7920743232142184,0
QQQ,2015-04-08,v1.0,1,0.0062831636126376,0.0,0.0,0.0,2026-05-18T04:42:51.102840+00:00,0.0079391241152078,0.0144593010749702,0.0098486098702734,-0.0119523784594728,-0.0077494107609968,0.0079077750826123,0.0003776702093902,97.4433516,0.0087210403382718,97.426754,0.0088928858288763,97.93879885714288,0.003618179383372,97.56935122,0.0074183928759345,1.0821604285714292,24366420.0,29432109.52380952,0.8788666670010385,0.0940174168346625,0.1632600782093586,0.1477811536682159,0.1399614900543235,0.0,0.0,44.59334645776781,-0.1314796875279995,-0.0406153655065732,-0.0908643220214263,100.17078669743894,95.77852900256106,0.5725142220854158,0.0003776702093902,0,0.006520176959762399,0.0020991991092765994,0,0,-0.14259721999999897,-0.4954472571428852,0,0.6361935073521372,0.67173770499867,0
QQQ,2015-04-09,v1.0,1,0.0041001407420311,0.0,0.0,0.0,2026-05-18T04:42:51.102927+00:00,0.0062831636126376,0.0125496027556784,0.0215135566037318,0.0175423650768205,0.0173740369413104,0.0062635068350114,-0.0004685371847698,97.859973,0.0107375668292897,97.5972755,0.013458116461458,98.0192337142857,0.0090953300891227,97.6818532,0.0125806151269864,1.122398571428572,22395260.0,28902595.23809524,0.7997447914135244,0.0713777952229616,0.1109192272039833,0.1332909758273599,0.1384575221217895,0.0,0.0,47.40516000935778,-0.0341729091427822,-0.0393268738197097,0.0051539646769275,100.22974672862306,95.94457957137696,0.6921950345713149,0.0004685371847698,0,0.0062664391430408,0.038887593545042204,0,0,-0.08457770000001119,-0.15926071428570765,0,0.5355035434685057,0.5155212152718174,0
QQQ,2015-04-10,v1.0,0,-0.0025057619192998,0.0,0.0,0.0,2026-05-18T04:42:51.103009+00:00,0.0041001407420311,0.0184308291935564,0.0250188751069926,0.025213988362541,0.0274739941989834,0.0040917580705887,-0.0003729119395726,98.3447996,0.0098785030215262,97.8415328,0.0150730079322713,98.14569342857142,0.0119272229940534,97.81203066,0.0153791750344998,1.0889528571428582,21995280.0,28507576.19047619,0.602096084399285,0.0643138769634594,0.1074944507184133,0.1315019752431755,0.1385797921234238,0.0,0.0,46.02040663108591,0.0746401835017991,-0.0165334564949904,0.0911736399967896,100.36391919782432,96.01252040217568,0.7592451882489254,0.0003729119395726,0,0.0143306884515253,0.052492869305976006,0,0,0.029502139999991073,0.199106171428582,1,0.4890715288026199,0.46409271753887565,0
QQQ,2015-04-13,v1.0,0,-0.0028843282064955,0.0,0.0,0.0,2026-05-18T04:42:51.103088+00:00,-0.0025057619192998,0.0078772216487619,0.0141535874884175,0.0185746579283923,0.0182153962304767,-0.0025089065950021,0.0007424863868517,98.6213178,0.0045235473420128,98.0221915,0.0106633455547666,98.23008723809524,0.0085243613789647,97.91938996,0.0117243994317057,1.1238468571428564,20661760.0,28331876.19047619,0.6276852221307516,0.0745365781271811,0.1098806488954142,0.1306824848918712,0.1381060899080448,0.0,0.0,45.740429685074346,0.1392748990764829,0.0146282210288894,0.1246466780475934,100.41482978961824,96.18113951038175,0.681744837052791,0.0007424863868517,0,0.0103829835680617,0.0323689837188942,0,0,0.10280154000000152,0.3912305619047629,1,0.5703639051952129,0.5397051844691133,0
QQQ,2015-04-14,v1.0,1,0.0062519276724686,0.0,0.0,0.0,2026-05-18T04:42:51.103167+00:00,-0.0028843282064955,-0.0013047924385893,0.0129487558848053,0.0041226569187187,0.019712107317048,-0.0028884958970176,-0.0010234745552514,98.8738676,-0.0009322443051675,98.0627486,0.0073314730645843,98.32101838095238,0.0046854134205842,98.03556414,0.0076107978420412,1.1383317857142845,21537020.0,27462095.23809524,0.8650359629896792,0.0793884138197908,0.0978186967533773,0.1300411323658704,0.1352001374518741,0.0,0.0,46.114475035544686,0.1656260492639774,0.0448277916452601,0.1207982576187172,100.45678435847265,96.20507394152736,0.6060194147143394,0.0010234745552514,0,0.0015795357679062002,0.032660863201853296,0,0,0.027184460000000854,0.5528492190476157,1,0.6104868995723809,0.5871917695063901,0
