ticker,date,feature_version,_computed_at,atr_14,day_of_month,day_of_week,dist_to_flip,gex_concentration,gex_regime_encoded,is_month_end,is_month_start,log_ret_1d,month,net_call_gex,net_gex,net_gex_roc_10d,net_gex_roc_1d,net_gex_roc_3d,net_gex_roc_5d,net_gex_zscore_60d,net_put_gex,options_count,overnight_gap,price_vs_sma_21,price_vs_sma_5,price_vs_sma_50,put_call_ratio,realized_vol_10d,realized_vol_21d,realized_vol_5d,realized_vol_60d,realized_vol_rolling_3d,realized_vol_rolling_5d,realized_vol_t1,realized_vol_t3,relative_volume,ret_10d,ret_1d,ret_21d,ret_3d,ret_5d,sma_10,sma_21,sma_5,sma_50,spot_price,target_any_materialization,target_directional_move,target_gap_move,target_range_expansion,target_return_pct,volume_sma_21,volume_sma_5,gap_abs,gap_large,ret_accel,ret_momentum,sma_10_50_diff,sma_5_21_diff,sma_5_21_cross,vol_ratio_5_21,vol_ratio_5_60,vol_spike
SPY,2024-01-02,v1.0,2026-05-18T01:54:56.147154+00:00,3.8630046428571383,2.0,1.0,0.8704513289414397,-0.8704513289414397,-1.0,0.0,1.0,-0.0056118399820581,1.0,-16376625115.12067,-32490541890.9172,0.0,0.0,0.0,0.0,0.0,-16637868015.87288,7950.0,-0.0066270087246226,0.0125003778710783,-0.0057050647389718,0.0530463037325776,1.0159521817783448,0.0973638279216083,0.0903396351897575,0.0372520727693408,0.1180477270392954,0.0,0.0,0.8586,0.9876,1.4690058780657835,0.0070740416970001,-0.0055961230221646,0.0398036011399104,-0.0081006362478488,-0.002111238743755,461.1328093999999,454.3121672380953,462.6305784,436.81957704,472.87,1.0,1.0,1.0,0.0,-0.8166719559927975,84154666.66666667,89290440.0,0.0066270087246226,0,-0.0025045132256842004,0.03769236239615539,24.313232359999915,8.318411161904692,1,0.4123557568893834,0.31556786858980984,0
SPY,2024-01-03,v1.0,2026-05-18T01:54:56.147170+00:00,3.925190428571426,3.0,2.0,0.8645294086251596,-0.8645294086251596,-1.0,0.0,1.0,-0.0082003212055239,1.0,-14739880144.60129,-32652448731.13293,0.0,-0.004983199134053,0.0,0.0,0.0,-18534339954.20477,7788.0,-0.0046970263940308,0.0030503399368959,-0.0109707064652958,0.0421568811294672,1.2574281318693938,0.1019084004334673,0.0939760931356909,0.0550668897141966,0.1189561524928375,0.0,0.0,0.2624,1.2116,1.2209487214243198,-0.0067378193989504,-0.008166790288948,0.0252464079551256,-0.0165726099669762,-0.0144223642297886,460.8233214999999,454.84715057142864,461.2953246,437.77918398,468.88,0.0,0.0,0.0,0.0,-0.3221058469677356,84840500.0,98930220.0,0.0046970263940308,0,-0.0084058196780282,0.010824043725336999,23.04413751999988,6.448174028571373,1,0.5859669413476979,0.46291750305506235,0
SPY,2024-01-04,v1.0,2026-05-18T01:54:56.147173+00:00,3.735890357142852,4.0,3.0,0.8659715036221453,-0.8659715036221453,-1.0,0.0,0.0,-0.0032262258288669,1.0,-15454925129.097614,-33785170472.30445,0.0,-0.0346902540296008,0.0,0.0,0.0,-18965060080.816647,7778.0,-0.0010452364013987,-0.0014455781198953,-0.0103018990814467,0.0365640108842237,1.2271207995120184,0.1062873718703669,0.0986725260567163,0.0586890219340146,0.1188785895995029,0.4989917968597613,0.0,0.1326,1.3409,0.9862970390394656,-0.0159211314330145,-0.0032210271545194,0.0273370715945648,-0.0168940545935314,-0.0193701127621724,460.0875701,455.4233950952381,459.4987548,438.72355226,467.62,0.0,0.0,0.0,0.0,0.1369628488272648,85402466.66666667,102176600.0,0.0010452364013987,0,-0.013673027439012,0.007966958832392401,21.364017839999974,4.0753597047618655,1,0.5947857861916163,0.4936887053829327,0
SPY,2024-01-10,v1.0,2026-05-18T01:54:56.147176+00:00,3.990876642857143,10.0,2.0,0.8599956333940009,-0.8599956333940009,-1.0,0.0,0.0,0.0056394267108807,1.0,-19273535615.020836,-33733327745.497684,0.0,0.0526902614535896,-0.039010199192812,-0.0331025407394384,0.0,-15088216016.164265,8074.0,0.0005907977373571,0.0111253668791084,0.0095583076944134,0.0462291673993691,0.7828462985486304,0.093079411825711,0.1031827652942401,0.1190935277686451,0.1204560029283653,0.4003907383211222,0.6117095593498602,0.065,0.0,0.7859086688093155,0.0019131545192659,0.0056553582117922,0.0397482452220784,0.0184646987902475,0.016574563135545,460.3503325,458.6933462380953,459.4053404,443.30295163999995,476.67,0.0,0.0,0.0,0.0,-0.0440658049353658,85646847.61904761,75694440.0,0.0005907977373571,0,0.0128093405784553,0.0563228083576234,17.047380860000032,0.7119941619047268,1,1.1541996949494067,0.9886889402480019,0
SPY,2024-01-11,v1.0,2026-05-18T01:54:56.147180+00:00,3.836552,11.0,3.0,0.8689219685029477,-0.8689219685029477,-1.0,0.0,0.0,-0.0004406890507028,1.0,-20028284372.64661,-36627111293.01375,0.0,-0.0857841114682879,-0.1377700244745676,-0.0841179955874128,0.0,-17246082747.92819,8464.0,0.0021613682887864,0.0090257490871707,0.0052504955225283,0.0429090636226123,0.8610863730036618,0.0949167812919106,0.1036745122423934,0.0986972261699856,0.119968907381359,0.3583893274080577,0.6257128614628279,0.0126,0.2813,0.9035244556470544,-0.000335874301566,-0.0004405919615456,0.0352632478829758,0.0036873035956724,0.0194102165437979,460.33475640000006,459.445295047619,461.170758,444.51827026,476.29,0.0,0.0,1.0,0.0,0.0692767922745846,86262966.66666667,74436140.0,0.0021613682887864,0,0.004127895557218,0.054673464426773705,15.816486140000052,1.7254629523809513,1,0.9519911356739049,0.822689979407294,0
SPY,2024-01-16,v1.0,2026-05-18T01:54:56.147182+00:00,3.73853757142857,16.0,1.0,0.8657246378181738,-0.8657246378181738,-1.0,0.0,0.0,-0.0036779696874214,1.0,-18524325702.82511,-37298934082.48842,0.0,-0.085472223487719,-0.1056998101074278,-0.1586392605305643,0.0,-19475001161.766445,8238.0,-0.0029788908667754,0.003913146504062,-0.001576703892593,0.0346288820194302,1.0513203813295264,0.0946020163131455,0.1032127997673556,0.0917180151334883,0.1186388435691207,0.0,0.0,0.5916,1.6063,0.99573604066576,-0.0007993235417203,-0.0036712142415568,0.0135080399826067,-0.0034203235152638,0.000695266599633,460.2968078,460.40849809523814,462.9400634,446.740036,475.01,1.0,1.0,1.0,0.0,-0.5558713915734922,85378952.38095239,70844800.0,0.0029788908667754,0,0.0002508907262930003,0.0142033065822397,13.556771800000035,2.531565304761841,1,0.8886301549218855,0.7730858177928369,0
SPY,2024-01-17,v1.0,2026-05-18T01:54:56.147184+00:00,3.886611785714284,17.0,2.0,0.8678499003695319,-0.8678499003695319,-1.0,0.0,0.0,-0.0055743125230715,1.0,-17079885374.395636,-38830831272.820496,-0.1951426172942883,-0.0410708034429137,-0.060166360436595,-0.0904594085149204,0.0,-22357029200.586697,8058.0,-0.0065484261634898,-0.0018870258595313,-0.0064625180806039,0.0269415568686557,1.3089683396881573,0.0952732489978957,0.0948850202083751,0.0492942124201472,0.1150759543205736,0.0,0.0,0.8386,2.3719,0.8295512349005975,-0.000761825375714,-0.0055588048712319,0.0046498744513352,-0.0085232788020585,-0.0033554299263186,460.2617644999999,460.5098019047619,462.6305664,447.58224548,472.27,1.0,1.0,1.0,0.0,0.8892841262783434,82989328.57142857,71427300.0,0.0065484261634898,0,-0.0029644739308266003,0.0012944445250166001,12.67951901999993,2.12076449523812,1,0.5195151681133808,0.4283623666435289,0
SPY,2024-01-18,v1.0,2026-05-18T01:54:56.147186+00:00,4.095164857142858,18.0,3.0,0.870997896105832,-0.870997896105832,-1.0,0.0,0.0,0.0088536907935232,1.0,-20800186447.84418,-38323236240.31163,-0.1736711251236667,0.0130719589529919,-0.1152814276412939,-0.1360645036102775,0.0,-18247488601.11204,7896.0,0.003642028668612,0.006264122987287,0.002402515517343,0.034115408272783,0.8772752420689616,0.095218490926596,0.0966613517388286,0.0614070281656407,0.1140100023626476,1.0108186105000905,0.0,1.3609,1.8503,1.1393330633714305,0.0164253328894358,0.0088930006406219,0.0152559143952023,-0.0003985119899643,-0.0001467971475195,461.01114499999994,460.8416253809524,462.61694960000005,448.4300207600001,476.17,1.0,1.0,0.0,0.0,1.2466158786123525,80622780.95238096,76336420.0,0.003642028668612,0,-0.0092915126305862,0.0151091172476828,12.581124239999838,1.7753242190476612,1,0.635279982207965,0.5386108368299687,0
SPY,2024-01-19,v1.0,2026-05-18T01:54:56.147188+00:00,4.438576071428575,19.0,4.0,0.8162005210461872,-0.8162005210461872,-1.0,0.0,0.0,0.0123891646155097,1.0,-14978678674.66723,-25127257749.457226,0.2562636980016007,0.3443336154626147,0.3263277257766384,0.313971076003201,0.0,-10490051245.832502,7806.0,0.002434541457041,0.0177378906563607,0.0123090612162153,0.0448074576824806,0.7003322171249896,0.0931662185922997,0.1006617404679695,0.0789452144703604,0.1110788189843914,0.6034437366758674,0.0,0.1575,0.46,1.3426443706787785,0.0324217816696972,0.0124662282379026,0.0221624579070115,0.0157919381362603,0.012763816680211,462.4855743,461.3263810952381,463.8003906,449.37403016,482.62,0.0,0.0,1.0,0.0,0.2114296374603531,82549409.52380952,82915180.0,0.002434541457041,0,0.0033257098983577003,0.0349262745872225,13.111544139999978,2.4740095047619093,1,0.7842622853601252,0.7107134202995032,0
SPY,2024-01-22,v1.0,2026-05-18T01:54:56.147190+00:00,4.373229571428575,22.0,0.0,0.8249289875653483,-0.8249289875653483,-1.0,0.0,0.0,0.0021120518744706,1.0,-16486456142.082075,-28474873875.935863,0.1229538751398442,-0.1332264809736729,0.2666941978173217,0.1713252558025279,0.0,-12412609757.143318,8068.0,0.003275070111598,0.0190082919102916,0.0115752836572446,0.0448313091494714,0.7528973874172893,0.1019262326065495,0.1070210893737047,0.1110732974268427,0.1127148278601852,0.6518772967361267,0.7351536254416488,0.3248,0.9164,0.9082596367618152,0.0331895878879761,0.0021142838270875,0.0181325382992176,0.0236297687475999,0.014202536207258,463.9969879,461.7254027619047,465.1181396,450.3138543800001,483.4,0.0,0.0,0.0,0.0,0.29165373875272,83505747.61904761,86478880.0,0.003275070111598,0,0.0215154849205124,0.0323350745064756,13.683133519999899,3.3927368380952885,1,1.0378635435148,0.985436341261665,0
