day,feature_version,ticker,_computed_at,atr_14,call_gex,day_of_week,gamma_flip,gex_n_strikes,month,net_gex,price_vs_sma_21,price_vs_sma_5,put_gex,realized_vol_21d,realized_vol_5d,relative_volume,ret_1d,ret_21d,ret_5d,rsi_14,sma_21,sma_5,spot,target_directional_move,target_return_pct,total_dex,total_vega,total_vex
2024-01-02,v2.0_gex,SPY,2026-05-18T09:14:44.557034+00:00,3.8630046428571387,20787850.98,1.0,120.0,6359,1.0,-25594330.59,0.012500377871078383,-0.00570506473897181,-46382181.57,0.09629683995385453,0.06156665435517586,1.4690058780657835,-0.005596123022164723,0.03980360113991055,-0.002111238743754962,67.73475064804911,454.3121672380953,462.6305784,459.991241,0,-0.008166790288948076,-16719747561.64,796818808.02,-1021529917.55
2024-01-03,v2.0_gex,SPY,2026-05-18T09:14:44.557704+00:00,3.925190428571426,20313231.38,2.0,120.0,6269,1.0,-15702145.47,0.0030503399368961848,-0.010970706465295854,-36015376.85,0.10110925164559294,0.06561632128868103,1.2209487214243198,-0.008166790288948067,0.025246407955125783,-0.014422364229788709,58.853094788191406,454.84715057142853,461.2953246,456.234589,0,-0.0032210271545194957,-22315630328.56,808505711.46,-710525543.22
2024-01-04,v2.0_gex,SPY,2026-05-18T09:14:44.558305+00:00,3.735890357142852,20639198.91,3.0,120.0,6203,1.0,-17807546.12,-0.0014455781198953188,-0.010301899081446741,-38446745.03,0.09970825254082159,0.050931580848905825,0.9862970390394656,-0.00322102715451944,0.027337071594564888,-0.019370112762172487,47.95063021463825,455.4233950952381,459.49875480000003,454.765045,1,0.001369570961638035,-29071515580.97,816619075.61,-503744036.85
2024-01-05,v2.0_gex,SPY,2026-05-18T09:14:44.558894+00:00,3.704475499999993,21605484.56,4.0,120.0,6196,1.0,-19091609.84,-0.0014156277719443722,-0.00525097210056702,-40697094.4,0.0995625700107275,0.05638450245487624,0.9992925648527343,0.0013695709616381446,0.028946818168514854,-0.018397721014929425,46.51600080771409,456.0334516190476,457.79172959999994,455.387878,1,0.014276027786580629,-25922694373.74,819017552.4,-486864505.22
2024-01-08,v2.0_gex,SPY,2026-05-18T09:14:44.559461+00:00,3.951951642857137,24701557.74,0.0,120.0,6092,1.0,-25565611.32,0.010613985211888943,0.009254720693501861,-50267169.05,0.10684722387583717,0.1400888066519315,0.8661160731104873,0.014276027786580547,0.047858711018765154,-0.001493551724724318,57.07391365376968,457.0380132857143,457.65355220000004,461.889008,0,-0.0015170635972354693,15005180127.78,792204670.21,-1181561496.32
2024-01-09,v2.0_gex,SPY,2026-05-18T09:14:44.560037+00:00,3.94707878571428,23469765.69,1.0,120.0,5945,1.0,-26019371.43,0.007293340448765173,0.007196726460455771,-49489137.12,0.10573087158655396,0.13315061188545704,0.7630664774614879,-0.0015170635972354685,0.03834603425399141,0.002602336508403136,52.703068643328024,457.84904404761903,457.89296260000003,461.188293,1,0.005655358211792231,-9957791598.34,808923615.31,-1323707212.89
2024-01-10,v2.0_gex,SPY,2026-05-18T09:14:44.560616+00:00,3.990876642857143,25083878.81,2.0,120.0,5958,1.0,-21145364.51,0.0111253668791087,0.00955830769441346,-46229243.32,0.10623476226325777,0.11034685345335815,0.7859086688093155,0.005655358211792194,0.039748245222078316,0.01657456313554495,52.44734295394938,458.69334623809516,459.4053404,463.796478,0,-0.0004405919615456617,15669884370.37,797546334.39,-1488346483.05
2024-01-11,v2.0_gex,SPY,2026-05-18T09:14:44.561166+00:00,3.8365519999999997,25213740.91,3.0,120.0,6210,1.0,-22590399.93,0.009025749087170798,0.00525049552252832,-47804140.84,0.10625139960427615,0.101396429423392,0.9035244556470544,-0.0004405919615456666,0.035263247882975746,0.01941021654379793,64.05978514379099,459.445295047619,461.17075800000003,463.592133,1,0.0006927123588614134,4433331878.17,802155384.52,-1317152647.04
2024-01-12,v2.0_gex,SPY,2026-05-18T09:14:44.561694+00:00,3.742708714285714,25846908.97,4.0,120.0,6419,1.0,-23131489.04,0.00825471709060599,0.0022412766423862696,-48978398.01,0.10576164776328362,0.1025438582998942,0.6765157259150474,0.0006927123588613693,0.031270510892492664,0.018721163675770924,58.06974259581938,460.11514861904766,462.8758362,463.913269,0,-0.003671214241556863,3754919646.88,805973084.03,-1229541983.21
2024-01-16,v2.0_gex,SPY,2026-05-18T09:14:44.562223+00:00,3.73853757142857,23314910.34,1.0,120.0,6425,1.0,-27667347.49,0.003913146504062048,-0.0015767038925929011,-50982257.83,0.09722821305021882,0.05511260493433937,0.99573604066576,-0.0036712142415568083,0.013508039982606856,0.0006952665996329266,52.51371731504725,460.40849809523814,462.9400634,462.210144,0,-0.00555880487123195,-17191559062.74,781828303.97,-924345730.33
